TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
WAS,WAS @ ATL,04/06/2022,L,48,104,121.6,-17.6,61.9,1.86,19.3,22.7,80,53.2,14.1,54.7,56.7,98,45.2
OKC,OKC @ UTA,04/06/2022,L,48,107.4,144.2,-36.8,73,2.7,20.1,23.6,53.8,36.2,10.6,50,51.8,94.5,31.9
CHI,CHI vs. BOS,04/06/2022,L,48,95.9,120.6,-24.7,54.3,1.12,14.7,24.5,70.8,47.4,17.3,48.1,52.2,97.5,37.5
BKN,BKN @ NYK,04/06/2022,W,48,108.9,98,10.9,68.3,2,19.3,30.2,78.6,55,13.9,51.6,54.5,100.5,58
ATL,ATL vs. WAS,04/06/2022,W,48,121.6,104,17.6,60.5,4.33,19.5,20,77.3,46.8,6.2,55.4,58.8,98,54.8
DET,DET vs. DAL,04/06/2022,L,48,116.5,135.1,-18.6,74.3,2.36,19.1,26.5,75.6,48.9,11.3,49.4,58,97,44.7
DAL,DAL @ DET,04/06/2022,W,48,135.1,116.5,18.6,62.2,2.8,20.7,24.4,73.5,51.1,10.3,65.6,69,97,55.3
PHX,PHX @ LAC,04/06/2022,L,48,103.8,107.6,-3.8,69,2.42,18.6,31.9,78.3,50.4,11.4,46.8,48.1,105,44.2
UTA,UTA vs. OKC,04/06/2022,W,48,144.2,107.4,36.8,59.2,2.23,20.4,46.2,76.4,63.8,13.7,67.3,69.8,94.5,68.1
BOS,BOS @ CHI,04/06/2022,W,48,120.6,95.9,24.7,67.4,2.23,20.7,29.2,75.5,52.6,13.4,58.5,59.9,97.5,62.5
NYK,NYK vs. BKN,04/06/2022,L,48,98,108.9,-10.9,68.8,2,16.4,21.4,69.8,45,11,46.4,49.6,100.5,42
CHI,CHI vs. MIL,04/05/2022,L,48,105,123.3,-18.4,52.4,1.47,15.8,28.6,71.4,46.9,14.9,47.4,51.1,102,36.8
CLE,CLE @ ORL,04/05/2022,L,48,116.2,121.2,-5.1,59.5,2.08,18.7,20.8,79.6,50.5,12.1,58.1,60.1,99,48
ATL,ATL @ TOR,04/05/2022,L,48,111.3,120.4,-9.1,72.1,4.43,22.3,20.4,59,40.9,7.2,53.2,54.4,97.5,48.2
HOU,HOU @ BKN,04/05/2022,L,48,102.9,115.7,-12.7,45,1.64,12.9,31.7,70.2,48.2,10.8,46,47.7,102,40.1
OKC,OKC vs. POR,04/05/2022,W,48,101,96.9,4.1,38.5,0.88,11.9,29.8,73.5,52.1,17.5,53.7,54,97,53.7
LAL,LAL @ PHX,04/05/2022,L,48,100.9,110,-9.1,56.4,1.38,15.8,16,77.8,48.1,14.7,50.6,55.4,109.5,43.5
MEM,MEM @ UTA,04/05/2022,L,53,99.1,104.3,-5.2,66.7,2,16.9,20.3,69.8,44.9,11.2,45,50.5,105.06,48
CHA,CHA @ MIA,04/05/2022,L,48,113.9,142.6,-28.7,75.6,2.27,23.6,20.9,68.4,43.2,14.9,60,61.9,101,42.4
POR,POR @ OKC,04/05/2022,L,48,96.9,101,-4.1,68.6,1.41,18,26.5,70.2,47.9,17.5,48.8,52.2,97,46.3
NOP,NOP @ SAC,04/05/2022,W,48,124.2,111.2,13,57.8,2,18.7,32.6,89.5,58.3,13.1,58,61.8,98.5,54.1
IND,IND vs. PHI,04/05/2022,L,48,117.3,127.2,-9.9,64.4,1.81,19.2,36,77.3,55.3,15.4,53.7,58.5,103.5,47
SAC,SAC vs. NOP,04/05/2022,L,48,111.2,124.2,-13,71.8,1.87,21.7,10.5,67.4,41.7,15.3,58.6,63.6,98.5,45.9
SAS,SAS @ DEN,04/05/2022,W,48,113.7,94.2,19.6,70.5,2.82,21.8,18,76.3,49.5,10.8,56.2,58.3,102.5,60.7
ORL,ORL vs. CLE,04/05/2022,W,48,121.2,116.2,5.1,66,4.43,22.1,20.4,79.2,49.5,7.1,59.1,60.2,99,52
TOR,TOR vs. ATL,04/05/2022,W,48,120.4,111.3,9.1,45.5,2.5,14,41,79.6,59.1,8.2,48,51.5,97.5,51.8
MIA,MIA vs. CHA,04/05/2022,W,48,142.6,113.9,28.7,60.4,1.93,20.4,31.6,79.1,56.8,14.9,70.8,74.4,101,57.6
MIN,MIN vs. WAS,04/05/2022,L,48,108.6,124.5,-16,65.9,2.7,19.4,15.1,75,43.6,9.5,52.7,55.9,105.5,42.4
